Timestamp,Alert
2025-04-19 17:03:46,Steps is abnormal: 2500
2025-04-19 17:03:46,"SVM Anomaly Alert: {'Heart Rate': 92, 'Steps': 2500}"
2025-04-19 17:03:46,"LOF Anomaly Alert: {'Heart Rate': 92, 'Steps': 2500}"
2025-04-19 17:03:46,"GMM Anomaly Alert: {'Heart Rate': 92, 'Steps': 2500}"
2025-04-19 17:03:46,Text Emotion Alert: I'm tired and dizzy.
2025-04-19 17:03:46,Voice Emotion Alert: Detected negative emotion from voice
2025-04-21 22:58:55,Steps is abnormal: 2500
2025-04-21 22:58:55,"SVM Anomaly Alert: {'Heart Rate': 92, 'Steps': 2500}"
2025-04-21 22:58:55,"LOF Anomaly Alert: {'Heart Rate': 92, 'Steps': 2500}"
2025-04-21 22:58:55,"GMM Anomaly Alert: {'Heart Rate': 92, 'Steps': 2500}"
2025-04-21 22:58:55,Text Emotion Alert: I'm tired and dizzy.
2025-04-21 22:58:55,Voice Emotion Alert: Detected negative emotion from voice
2025-04-21 23:00:28,Steps is abnormal: 2500
2025-04-21 23:00:28,"SVM Anomaly Alert: {'Heart Rate': 92, 'Steps': 2500}"
2025-04-21 23:00:28,"LOF Anomaly Alert: {'Heart Rate': 92, 'Steps': 2500}"
2025-04-21 23:00:28,"GMM Anomaly Alert: {'Heart Rate': 92, 'Steps': 2500}"
2025-04-21 23:00:28,Text Emotion Alert: I'm tired and dizzy.
2025-04-21 23:00:28,Voice Emotion Alert: Detected negative emotion from voice
2025-04-21 23:02:59,Steps is abnormal: 2500
2025-04-21 23:02:59,"SVM Anomaly Alert: {'Heart Rate': 92, 'Steps': 2500}"
2025-04-21 23:02:59,"LOF Anomaly Alert: {'Heart Rate': 92, 'Steps': 2500}"
2025-04-21 23:02:59,"GMM Anomaly Alert: {'Heart Rate': 92, 'Steps': 2500}"
2025-04-21 23:02:59,Text Emotion Alert: I'm tired and dizzy.
2025-04-21 23:02:59,Voice Emotion Alert: Detected negative emotion from voice
2025-04-21 23:06:26,Steps is abnormal: 2500
2025-04-21 23:06:26,"SVM Anomaly Alert: {'Heart Rate': 92, 'Steps': 2500}"
2025-04-21 23:06:26,"LOF Anomaly Alert: {'Heart Rate': 92, 'Steps': 2500}"
2025-04-21 23:06:26,"GMM Anomaly Alert: {'Heart Rate': 92, 'Steps': 2500}"
2025-04-21 23:06:26,Text Emotion Alert: I'm tired and dizzy.
2025-04-21 23:06:26,Voice Emotion Alert: Detected negative emotion from voice
2025-04-21 23:09:45,Steps is abnormal: 2500
2025-04-21 23:09:45,"SVM Anomaly Alert: {'Heart Rate': 92, 'Steps': 2500}"
2025-04-21 23:09:45,"LOF Anomaly Alert: {'Heart Rate': 92, 'Steps': 2500}"
